5.705	2.958	2.813	3.516	0.937	8.641	4.115	6.069	0.6705
5.793	3.096	2.804	3.344	0.914	8.332	4.205	6.481	0.6545
5.806	2.789	2.764	3.297	0.832	8.267	4.29	6.434	0.6675
5.72	3.046	2.732	3.335	0.951	8.262	4.462	6.464	0.6525
5.577	3.182	2.857	3.659	0.901	8.599	4.576	5.997	0.675
5.557	3.122	2.823	3.52	0.909	8.494	4.228	6.236	0.6685
5.695	2.849	2.777	3.382	0.844	8.296	4.275	6.204	0.656
5.003	3.616	2.962	3.606	0.904	16.496	4.432	9.523	0.633
5.16	3.142	2.813	3.312	0.872	16.05	4.363	9.758	0.615
5.059	3.326	2.932	3.435	0.916	16.302	4.244	9.808	0.633
4.976	3.351	3.013	3.606	0.944	16.437	4.472	9.681	0.646
5.145	3.029	2.967	3.403	0.981	16.038	4.423	9.976	0.629
5.021	3.16	2.955	3.509	0.947	16.119	4.496	9.567	0.641
5.04	3.045	2.966	3.451	0.891	16.01	4.146	9.813	0.618
5.081	3.301	2.983	3.383	0.91	15.938	4.406	9.803	0.629
4.951	3.58	2.97	3.735	1.038	16.353	4.27	9.382	0.639
5.032	3.101	2.912	3.451	0.888	15.849	4.283	9.783	0.617
5.003	3.568	2.967	3.544	0.919	15.857	4.232	9.65	0.631
4.892	3.425	3.06	3.798	0.947	16.273	4.102	9.228	0.618
4.868	3.331	2.975	3.562	0.978	15.713	4.559	9.826	0.618
4.836	3.141	2.877	3.564	0.995	15.599	4.632	9.431	0.636
4.767	3.536	2.975	3.779	1.002	16.073	4.475	9.172	0.621
4.919	3.239	2.917	3.484	0.949	15.365	4.36	9.535	0.61
4.92	3.352	2.946	3.467	0.914	15.358	4.428	9.65	0.62
4.703	3.66	3.108	3.936	1.059	15.87	4.38	8.701	0.638
4.896	3.104	2.978	3.483	0.916	14.968	4.213	9.507	0.629
5.085	3.119	2.976	3.555	0.945	14.854	4.489	9.244	0.624
4.834	3.157	3	3.6	0.976	15.001	4.289	9.187	0.627
4.846	3.273	2.987	3.697	1.021	14.983	4.54	9.016	0.631
4.781	3.328	2.965	3.708	0.991	14.839	4.576	8.752	0.625
4.941	3.321	2.858	3.601	0.914	14.467	4.356	8.952	0.635
5.064	3.164	2.887	3.44	0.955	13.974	4.47	9.382	0.659
4.917	3.276	2.966	3.597	0.94	14.103	4.415	9.07	0.639
4.872	3.417	3.028	3.61	0.978	14.029	4.371	8.741	0.649
4.827	3.331	2.932	3.608	1.002	13.819	4.249	8.639	0.652
4.891	3.375	2.958	3.463	0.927	13.226	4.866	9.046	0.657
4.966	3.16	2.93	3.602	0.951	13.337	4.54	8.642	0.67
