52.804	5.898	16.37	3.669	0.978	7.126	3.013	5.363	4.639	2.834162111
53.372	5.928	15.912	3.529	0.975	6.407	2.871	5.866	4.476	2.696790519
53.722	5.997	15.634	3.501	0.912	6.416	2.849	5.905	4.309	2.789483821
53.546	5.874	15.902	3.582	0.948	6.46	2.875	5.689	4.458	2.885487534
51.232	6.744	15.785	3.706	0.974	6.55	2.907	5.134	4.329	3.177167734
54.172	5.833	15.681	3.608	0.981	6.535	2.933	5.836	4.323	2.521431069
54.248	5.859	15.68	3.632	0.863	6.825	2.885	5.842	4.351	3.005977723
54.246	5.748	15.673	3.658	0.93	6.713	2.874	5.691	4.244	2.950118794
54.317	5.768	15.418	3.561	0.957	6.756	2.899	5.957	4.32	2.343334617
53.785	5.594	15.767	3.761	0.989	6.98	3.033	5.509	4.493	2.45672763
54.871	5.76	15.008	3.505	0.909	6.53	2.85	5.919	4.362	2.541651646
55.242	5.722	14.863	3.553	0.905	6.284	2.866	6.109	4.421	2.241840192
54.504	5.617	15.236	3.701	1	6.668	2.988	5.636	4.252	2.541160994
55.188	5.686	14.575	3.514	0.858	6.307	2.796	5.97	4.57	2.590734592
55.172	5.614	14.585	3.633	0.913	6.483	2.821	5.926	4.43	2.40030492
55.343	5.63	14.535	3.64	0.926	6.375	2.881	6.016	4.366	2.061842807
56.061	5.566	14.482	3.625	0.914	6.504	2.946	6.044	4.494	2.266063649
55.562	5.532	14.431	3.754	0.999	6.779	2.994	5.737	4.557	2.300454853
56.145	5.486	13.993	3.666	1.017	6.289	2.837	5.636	4.248	2.516262974
56.302	5.454	14.098	3.819	0.912	6.352	2.952	5.636	4.286	2.413796341
56.82	5.598	13.773	3.701	0.933	6.019	2.94	5.994	4.49	2.256041265
57.599	5.697	13.465	3.612	0.929	5.636	2.755	6.08	4.188	2.159323021
57.157	5.531	13.472	3.746	0.987	5.837	2.936	5.72	4.084	2.385772681
57.783	5.666	13.028	3.609	0.981	5.525	3.002	6.005	4.377	2.450403859
57.567	5.589	13.049	3.785	0.955	5.589	2.84	5.736	4.262	2.563685976
57.726	5.46	13.048	3.865	0.981	5.478	2.958	5.606	4.37	2.432211094
58.88	5.835	12.492	3.568	0.917	4.804	2.822	5.975	4.156	2.786236619
59.433	5.853	11.967	3.513	0.912	4.368	2.816	6.164	4.331	2.955732666
60.307	5.984	11.541	3.363	0.919	3.827	2.833	6.296	4.17	2.41197514
60.949	6.048	11.243	3.356	0.847	3.552	2.724	6.463	4.31	2.328633327
60.88	5.939	11.089	3.323	0.898	3.5	2.746	6.471	4.431	2.295760665
61.325	6.021	10.688	3.125	0.873	3.255	2.689	6.664	4.249	2.250546683
61.303	5.962	10.962	3.433	0.921	3.715	2.767	6.367	4.258	1.901613892
61.825	5.983	10.503	3.267	0.855	3.454	2.762	6.17	4.379	2.086103224
61.698	5.888	10.632	3.389	0.869	3.422	2.829	6.349	4.303	2.07401914
62.488	6.25	10.081	3.183	0.801	2.652	2.694	6.494	4.213	3.144510521
61.348	6.058	9.637	3.049	0.841	2.77	2.601	6.58	4.173	2.41059016
62.76	5.992	9.921	3.295	0.795	3.118	2.749	6.403	4.376	2.43413552
62.545	6.037	9.772	3.224	0.852	3.147	2.743	6.454	4.141	2.600882519
62.65	5.987	9.791	3.383	0.906	3.102	2.809	6.274	4.265	1.893599452
63.164	6.022	9.487	3.177	0.854	2.813	2.68	6.636	4.049	2.295598071
62.678	5.899	9.618	3.522	0.857	3.169	2.816	5.846	3.948	2.666072458
63.155	5.94	9.25	3.274	0.814	3.081	2.677	6.611	4.258	2.314069356
62.899	5.899	9.325	3.333	0.885	3.215	2.851	6.312	4.334	1.894570431
60.427	5.989	8.937	3.294	0.848	2.765	2.644	5.973	3.907	2.426799987
62.966	5.795	9.346	3.58	0.894	3.385	2.852	6.054	4.356	2.835346635
